MAG_ID	Sample	Completeness	Contamination	Abundance	Taxonomy
CL02	B2	99.18	1.39	  0.5	Pediococcus damnosus
CL03	B2	97.73	5.01	 30.6	Lactobacillus acetotolerans
CL04	B2	0.00	0.00	  0.2	-
CL05	B2	0.00	0.00	  1.8	-
CL06	B2	0.00	0.00	  2.1	-
CL07	B2	0.00	0.00	  0.2	-
CL08	B2	0.00	0.00	  0.1	-
CL09	B2	0.00	0.00	  0.1	-
CL10	B2	0.00	0.00	  0.5	-
CL11	B2	0.00	0.00	  4.0	-
CL12	B2	0.00	0.00	  1.8	-
CL13	B2	0.00	0.00	  0.6	-
CL14	B2	0.00	0.00	  0.2	-
CL15	B2	0.00	0.00	  0.6	-
CL16	B2	0.00	0.00	  4.3	-
CL17	B2	0.00	0.00	  0.2	-
CL18	B2	0.00	0.00	  0.3	-
CL19	B2	0.00	0.00	 17.5	-
CL20	B2	0.00	0.00	  0.1	-
CL21	B2	0.00	0.00	  0.5	-
CL22	B2	0.00	0.00	  0.2	-
CL23	B2	0.00	0.00	  3.4	-
CL24	B2	0.00	0.00	  6.5	-
CL25	B2	0.00	0.00	  1.1	-
CL26	B2	0.00	0.00	  0.1	-
CL27	B2	0.00	0.00	  0.2	-
CL28	B2	0.00	0.00	  1.3	-
CL29	B2	0.00	0.00	  3.6	-
CL30	B2	0.00	0.00	  0.1	-
CL31	B2	0.00	0.00	  2.2	-
CL32	B2	0.00	0.00	  0.4	-
CL33	B2	0.00	0.00	  0.1	-
CL34	B2	0.00	0.00	  1.9	-
CL35	B2	0.00	0.00	  0.1	-
CL36	B2	0.00	0.00	  0.1	-
CL37	B2	0.00	0.00	  4.4	-
CL38	B2	0.00	0.00	  0.2	-
CL39	B2	0.00	0.00	  1.3	-
CL40	B2	0.93	0.00	  0.1	-
CL41	B2	3.45	0.00	  0.1	-
CL42	B2	0.00	0.00	  1.3	-
CL43	B2	0.00	0.00	  3.9	-
CL44	B2	0.00	0.00	  0.1	-
CL001	B14	81.76	9.84	100.0	Lactobacillus acetotolerans
CL01	B25	98.64	0.00	  5.9	Lactobacillus_C paracasei
