MAG ID	Completeness	Contamination	Strain heterogeneity	Coverage	Coverage %	Taxonomy
CL02	99.18	1.39	50	54.3376	0.45%	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus damnosus
CL03	97.73	5.01	94.74	3689.695	30.59%	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acetotolerans
CL41	3.45	0	0	8.827135	0.07%	
CL40	0.93	0	0	14.4865	0.12%	
CL04	0	0	0	20.3225	0.17%	
CL05	0	0	0	220.605	1.83%	
CL06	0	0	0	253.624	2.10%	
CL07	0	0	0	27.53785	0.23%	
CL08	0	0	0	13.8129	0.11%	
CL09	0	0	0	12.5675	0.10%	
CL10	0	0	0	61.8727	0.51%	
CL11	0	0	0	476.7515	3.95%	
CL12	0	0	0	222.495	1.84%	
CL13	0	0	0	67.9436	0.56%	
CL14	0	0	0	20.4674	0.17%	
CL15	0	0	0	74.0427	0.61%	
CL16	0	0	0	521.811	4.33%	
CL17	0	0	0	24.4416	0.20%	
CL18	0	0	0	34.0622	0.28%	
CL19	0	0	0	2116.45	17.55%	
CL20	0	0	0	12.6719	0.11%	
CL21	0	0	0	57.1431	0.47%	
CL22	0	0	0	22.6353	0.19%	
CL23	0	0	0	408.848	3.39%	
CL24	0	0	0	785.1965	6.51%	
CL25	0	0	0	138.3375	1.15%	
CL26	0	0	0	10.4867	0.09%	
CL27	0	0	0	25.705	0.21%	
CL28	0	0	0	161.624	1.34%	
CL29	0	0	0	430.6815	3.57%	
CL30	0	0	0	10.3894	0.09%	
CL31	0	0	0	270.298	2.24%	
CL32	0	0	0	46.1212	0.38%	
CL33	0	0	0	9.14168	0.08%	
CL34	0	0	0	229.908	1.91%	
CL35	0	0	0	12.117	0.10%	
CL36	0	0	0	16.69425	0.14%	
CL37	0	0	0	529.129	4.39%	
CL38	0	0	0	20.9424	0.17%	
CL39	0	0	0	152.753	1.27%	
CL42	0	0	0	160.085	1.33%	
CL43	0	0	0	468.658	3.89%	
CL44	0	0	0	8.39396	0.07%	
